timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
,,,,,,,,,,,,,,,,1.302716,103.798483,14.227356,0.000000,86.132812,1501240193.999986,
1501240194.320936,1.645897,-1.452704,-1.788629,0.025199,-0.009773,0.008688,0.117486,0.993035,0.008840,0.002479,0.032859,0.004267,15.765448,-0.647854,36.306454,,,,,,,
,,,,,,,,,,,,,,,,1.302716,103.798483,14.212830,0.000000,86.132812,1501240194.999987,
1501240195.320781,1.529363,-1.449950,-1.899805,0.005092,0.003503,-0.005933,0.120449,0.992707,-0.004994,0.002430,0.039459,-0.000042,15.989993,-0.218736,36.213257,,,,,,,
,,,,,,,,,,,,,,,,1.302716,103.798483,14.178589,0.000000,86.132812,1501240195.999987,
1501240196.320631,1.615787,-1.461503,-1.817290,-0.027751,0.056184,-0.014235,0.108966,0.994033,0.004906,0.010556,0.037857,0.000084,15.849718,-0.364079,36.273701,,,,,,,
,,,,,,,,,,,,,,,,1.302716,103.798483,14.122559,0.000000,86.132812,1501240196.999987,
1501240197.320450,1.656212,-1.462003,-1.785647,-0.009159,-0.008613,-0.002291,0.108183,0.994088,0.009263,0.002474,0.036292,-0.002214,15.502995,-0.486352,36.421810,,,,,,,
,,,,,,,,,,,,,,,,1.302716,103.798483,14.096497,0.000000,86.132812,1501240197.999987,
1501240198.320320,1.731025,-1.459220,-1.711020,0.005902,0.005962,0.011920,0.109918,0.993782,0.017764,0.004950,0.034569,0.003003,15.482673,-0.820472,36.424458,,,,,,,
,,,,,,,,,,,,,,,,1.302716,103.798483,14.068848,0.000000,86.132812,1501240198.999987,
1501240199.320195,1.633374,-1.451594,-1.809556,0.009328,0.003582,0.005720,0.118687,0.992904,0.007437,0.002544,0.035523,-0.001700,15.466218,-0.582760,36.436028,,,,,,,
,,,,,,,,,,,,,,,,1.302716,103.798483,14.055115,0.000000,86.132812,1501240199.999988,
1501240200.320019,1.599102,-1.451131,-1.841519,0.006005,-0.010441,0.002322,0.119333,0.992849,0.003379,0.006629,0.035807,-0.001212,15.555817,-0.452647,36.399715,,,,,,,
,,,,,,,,,,,,,,,,1.302716,103.798483,14.052307,0.000000,86.132812,1501240200.999988,
1501240201.319894,1.612730,-1.459673,-1.807525,0.040633,-0.060716,-0.039541,0.110797,0.993832,0.004649,0.021283,0.029148,0.022329,16.271221,-0.433553,36.085827,,,,,,,
,,,,,,,,,,,,,,,,1.302716,103.798483,14.044006,0.000000,86.132812,1501240201.999988,
1501240202.319745,-0.299560,-1.550280,2.676856,0.215919,-0.072426,0.053494,-0.006054,0.999790,-0.019601,-0.010365,-0.003681,0.001291,20.174665,2.250741,33.985950,,,,,,,
,,,,,,,,,,,,,,,,1.302716,103.798483,14.030090,0.000000,86.132812,1501240202.999987,
1501240203.319592,-3.085941,-1.242180,-0.042960,0.860588,1.002114,0.859115,-0.017951,0.946490,0.322234,0.057502,-0.227938,0.283601,31.870621,-17.474621,11.102554,,,,,,,
,,,,,,,,,,,,,,,,1.302716,103.798483,14.530884,0.000000,86.132812,1501240203.999987,
1501240204.319440,-2.601960,-1.259508,-0.218968,-1.990074,-3.331840,-1.482830,-0.157376,0.951940,0.262761,-0.257679,0.225444,-0.539601,15.664504,-18.786173,29.087255,,,,,,,
,,,,,,,,,,,,,,,,1.302712,103.798518,14.510742,0.770000,358.242188,1501240204.999987,
1501240205.319287,0.743024,-1.350086,2.927342,-0.686605,0.052422,-0.444393,0.148105,0.975742,-0.161220,-0.332004,0.392529,0.398601,3.386620,1.068348,40.566158,,,,,,,
,,,,,,,,,,,,,,,,1.302714,103.798523,14.318176,0.770000,87.890625,1501240205.999988,
1501240206.319134,0.502267,-1.464753,2.743882,1.087534,0.406670,0.804214,0.050955,0.994383,-0.092772,-0.291540,0.022570,0.135191,6.028968,-2.394535,40.201267,,,,,,,
,,,,,,,,,,,,,,,,1.302700,103.798523,12.456421,0.770000,8.437500,1501240206.999987,
1501240207.318971,2.976549,-1.454901,-0.907039,1.147439,1.264063,-1.424739,0.018998,0.993292,0.114065,0.123076,0.805414,-0.219595,12.113266,-10.951929,38.380276,,,,,,,
,,,,,,,,,,,,,,,,1.302697,103.798530,12.625488,1.030000,124.453125,1501240207.999987,
1501240208.318816,3.107880,-1.226629,-0.389677,0.132083,2.574897,1.061582,0.011373,0.941357,0.337222,-0.205755,0.616413,0.004179,26.227972,-16.297184,28.039558,,,,,,,
,,,,,,,,,,,,,,,,1.302678,103.798539,12.024963,1.030000,132.187500,1501240208.999987,
1501240209.318688,-3.070310,-1.125302,-0.483807,2.101830,-0.443707,0.681103,-0.030690,0.902398,0.429810,0.663182,-0.295281,-0.191269,19.441687,-20.488594,30.691366,,,,,,,
,,,,,,,,,,,,,,,,1.302673,103.798541,12.402222,0.420000,132.187500,1501240209.999988,
1501240210.318526,0.756736,-1.550990,-2.978722,-0.093651,0.705728,0.133738,0.013597,0.999804,-0.014400,0.034300,-0.036593,-0.157857,18.206810,-3.813846,36.569550,,,,,,,
,,,,,,,,,,,,,,,,1.302673,103.798541,12.733887,0.000000,132.187500,1501240210.999987,
1501240211.318366,0.873936,-1.454420,-2.930737,0.005848,-0.055082,0.040847,0.089043,0.993236,-0.074523,0.014747,0.036076,-0.006959,15.105783,-2.684283,38.052277,,,,,,,
,,,,,,,,,,,,,,,,1.302673,103.798541,12.355774,0.000000,132.187500,1501240211.999988,
1501240212.318207,1.162116,-1.478909,-2.639070,-0.032868,0.038876,-0.015361,0.084201,0.995781,-0.036464,0.005353,0.031562,-0.001240,15.220524,-4.068089,37.883400,,,,,,,
,,,,,,,,,,,,,,,,1.302673,103.798541,12.152161,0.000000,131.835938,1501240212.999988,
1501240213.318023,1.309041,-1.494119,-2.505505,-0.031833,0.022866,0.000474,0.073993,0.997062,-0.019823,0.002637,0.035913,0.000490,14.743023,-4.494742,38.023754,,,,,,,
,,,,,,,,,,,,,,,,1.302672,103.798543,12.532410,0.160000,131.835938,1501240213.999987,
1501240214.317864,1.155959,-1.489060,-2.667840,0.017311,0.013968,0.006768,0.074720,0.996661,-0.032906,-0.006880,0.037945,-0.003501,14.402773,-4.001003,38.208870,,,,,,,
,,,,,,,,,,,,,,,,1.302672,103.798543,13.305969,0.000000,132.187500,1501240214.999988,
1501240215.317729,1.212164,-1.490880,-2.607513,0.002792,0.003871,0.012095,0.074752,0.996808,-0.028020,0.005784,0.030657,0.002095,14.548763,-4.188820,38.133354,,,,,,,
,,,,,,,,,,,,,,,,1.302672,103.798543,12.655945,0.000000,311.132812,1501240215.999987,
1501240216.317533,1.315513,-1.493107,-2.504879,-0.003439,-0.001714,-0.002773,0.075096,0.996984,-0.019598,-0.000725,0.036876,-0.000528,14.505819,-4.511640,38.112881,,,,,,,
,,,,,,,,,,,,,,,,1.302672,103.798543,12.807617,0.000000,131.835938,1501240216.999988,
1501240217.317374,1.279071,-1.491406,-2.540169,0.005367,-0.006173,0.001450,0.075956,0.996850,-0.022809,0.001055,0.036338,0.000669,14.549469,-4.409154,38.108242,,,,,,,
,,,,,,,,,,,,,,,,1.302672,103.798543,12.686035,0.000000,131.835938,1501240217.999988,
1501240218.317226,1.288385,-1.494388,-2.529324,-0.000748,0.003392,-0.001782,0.073310,0.997082,-0.021272,-0.004417,0.033527,0.000978,14.619345,-4.434336,38.078568,,,,,,,
,,,,,,,,,,,,,,,,1.302672,103.798543,12.561218,0.000000,131.835938,1501240218.999987,
1501240219.317045,1.452523,-1.499517,-2.354166,-0.025992,0.045131,-0.000618,0.070722,0.997461,-0.008404,0.007464,0.039084,0.010693,15.049300,-4.896518,37.853775,,,,,,,
,,,,,,,,,,,,,,,,1.302672,103.798543,12.433899,0.000000,131.835938,1501240219.999987,
1501240220.316875,1.584667,-1.504949,-2.237006,0.002599,-0.042155,-0.000585,0.065793,0.997833,0.000913,0.001666,0.035508,0.000720,14.461389,-5.158129,38.047703,,,,,,,
,,,,,,,,,,,,,,,,1.302672,103.798543,12.336243,0.000000,131.835938,1501240220.999988,
1501240221.316704,1.359722,-1.497159,-2.441799,0.023608,-0.004057,0.005977,0.071938,0.997290,-0.015414,0.003441,0.035852,0.003054,15.228893,-4.685353,37.808647,,,,,,,
,,,,,,,,,,,,,,,,1.302672,103.798543,12.252319,0.000000,131.835938,1501240221.999988,
1501240222.316527,1.083354,-1.489731,-2.627975,0.025854,-0.183718,0.026080,0.071545,0.996716,-0.037927,0.002994,0.036609,0.002542,16.904377,-5.107607,38.012257,,,,,,,
,,,,,,,,,,,,,,,,1.302672,103.798543,12.209961,0.000000,131.835938,1501240222.999988,
1501240223.316352,1.205492,-1.492009,-2.485025,0.002239,0.171128,0.007193,0.073512,0.996898,-0.028116,0.001195,0.029515,-0.000769,17.759556,-5.578875,37.553318,,,,,,,
,,,,,,,,,,,,,,,,1.302672,103.798543,12.197937,0.000000,131.835938,1501240223.999988,
1501240224.316193,1.315288,-1.500425,-2.456275,-0.025830,-0.094764,-0.019504,0.068031,0.997525,-0.017771,0.005806,0.035129,-0.006140,14.647960,-5.632285,38.865047,,,,,,,
,,,,,,,,,,,,,,,,1.302672,103.798543,12.169067,0.000000,131.835938,1501240224.999988,
1501240225.316013,1.517808,-1.499844,-2.201849,-0.008322,0.008532,-0.005679,0.070793,0.997484,-0.003755,0.001777,0.035979,-0.001082,16.619446,-6.361601,37.948666,,,,,,,
,,,,,,,,,,,,,,,,1.302672,103.798543,12.140747,0.000000,131.835938,1501240225.999987,
